Data,Media_Diaria,Qtd_Medicoes
2025-10-08,189.50,2
2025-10-09,199.00,7
2025-10-10,178.50,8
2025-10-11,344.25,4
2025-10-12,423.67,3
2025-10-13,181.00,12
2025-10-14,147.29,7
2025-10-15,181.50,8
2025-10-16,190.43,7
2025-10-17,149.17,6
2025-10-18,378.00,2
2025-10-19,289.50,2
2025-10-20,194.17,6
2025-10-21,179.83,6
2025-10-22,159.67,6
2025-10-23,141.57,7
2025-10-24,167.33,6
2025-10-25,413.00,2
2025-10-26,171.33,3
2025-10-27,222.43,7
2025-10-28,155.00,4
2025-10-29,158.17,6
2025-10-30,145.50,6
2025-10-31,151.00,7
2025-11-01,250.00,3
2025-11-02,162.00,1
2025-11-03,204.83,6
2025-11-04,177.75,8
2025-11-05,266.71,7
2025-11-06,230.80,5
2025-11-07,132.00,2
2025-11-08,363.00,2
2025-11-09,320.50,2
2025-11-10,216.00,5
2025-11-11,207.88,8
2025-11-12,179.00,7
2025-11-13,269.50,8
2025-11-14,219.25,4
2025-11-15,399.00,3
2025-11-16,284.25,4
2025-11-17,224.80,5
2025-11-18,226.17,6
2025-11-19,138.00,3
